Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,323.760010,340.239990,273.140015,294.940002,294.940002,0
2003-02-01,299.429993,301.790009,249.550003,266.209991,266.209991,0
2003-03-01,270.420013,278.529999,217.800003,248.539993,248.539993,0
2003-04-01,251.220001,295.579987,248.270004,282.630005,282.630005,0
2003-05-01,280.989990,291.980011,264.799988,280.570007,280.570007,0
2003-06-01,283.579987,309.500000,281.380005,291.549988,291.549988,0
2003-07-01,293.279999,318.130005,284.140015,317.489990,317.489990,0
2003-08-01,316.670013,336.019989,305.649994,329.410004,329.410004,0
2003-09-01,331.059998,344.329987,305.299988,306.779999,306.779999,0
2003-10-01,308.820007,333.910004,306.429993,330.220001,330.220001,0
2003-11-01,331.329987,344.619995,320.829987,332.190002,332.190002,0
2003-12-01,334.660004,339.790009,324.839996,337.649994,337.649994,0
2004-01-01,338.690002,360.850006,337.970001,353.309998,353.309998,0
2004-02-01,354.510010,365.929993,347.880005,356.589996,356.589996,0
2004-03-01,357.739990,362.670013,323.369995,338.869995,338.869995,0
2004-04-01,340.790009,358.489990,338.369995,341.410004,341.410004,0
2004-05-01,338.559998,346.329987,319.109985,337.190002,337.190002,0
2004-06-01,337.859985,348.070007,331.880005,345.130005,345.130005,0
2004-07-01,346.799988,348.730011,320.720001,329.910004,329.910004,0
2004-08-01,328.640015,328.640015,307.309998,323.119995,323.119995,0
2004-09-01,324.839996,335.869995,321.859985,323.940002,323.940002,0
2004-10-01,324.579987,339.350006,320.369995,330.480011,330.480011,1591048200
2004-11-01,328.950012,345.899994,328.950012,337.149994,337.149994,2312428800
2004-12-01,337.010010,348.859985,336.279999,348.079987,348.079987,1921034600
2005-01-01,348.220001,360.420013,347.700012,360.420013,360.420013,2264488800
2005-02-01,360.720001,377.019989,360.079987,374.369995,374.369995,2289443400
2005-03-01,373.510010,380.190002,366.500000,369.559998,369.559998,2471016600
2005-04-01,370.089996,374.260010,345.549988,348.200012,348.200012,2656191800
2005-05-01,348.700012,369.670013,347.799988,364.679993,364.679993,2450851800
2005-06-01,365.779999,385.440002,365.519989,383.829987,383.829987,2428853400
2005-07-01,382.850006,399.019989,375.160004,395.769989,395.769989,2964931400
2005-08-01,396.209991,401.769989,382.160004,389.600006,389.600006,2235986200
2005-09-01,390.700012,404.089996,388.059998,402.989990,402.989990,2427234600
2005-10-01,405.410004,408.899994,383.309998,394.160004,394.160004,2462655000
2005-11-01,394.279999,422.059998,393.279999,418.790009,418.790009,2376146200
2005-12-01,419.720001,441.260010,419.720001,436.779999,436.779999,1784412400
2006-01-01,437.549988,454.459991,427.899994,450.500000,450.500000,2537086800
2006-02-01,449.859985,467.529999,448.660004,458.720001,458.720001,2401370400
2006-03-01,459.890015,473.130005,449.149994,468.690002,468.690002,2798368800
2006-04-01,471.450012,478.440002,460.089996,469.399994,469.399994,2351671400
2006-05-01,467.670013,474.260010,426.179993,440.410004,440.410004,2972584200
2006-06-01,439.679993,445.980011,409.559998,440.250000,440.250000,2654839600
2006-07-01,440.790009,457.640015,422.709991,454.059998,454.059998,2174250200
2006-08-01,452.929993,471.459991,446.339996,469.010010,469.010010,2580680600
2006-09-01,469.220001,485.799988,460.170013,483.619995,483.619995,2353667100
2006-10-01,484.920013,495.730011,478.670013,486.570007,486.570007,2486208800
2006-11-01,485.640015,498.450012,475.399994,477.670013,477.670013,2678960700
2006-12-01,478.399994,499.170013,470.540009,495.339996,495.339996,2091743700
