ID;Periods;ConsumerConfidence_1;EconomicClimate_2;WillingnessToBuy_3;EconomicSituationLast12Months_4;EconomicSituationNext12Months_5;FinancialSituationLast12Months_6;FinancialSituationNext12Months_7;RightTimeToMakeLargePurchases_8
293;2010-09;-8;-7;-9;-22;7;-11;0;-17
294;2010-10;-7;-3;-9;-18;12;-11;1;-16
295;2010-11;-3;4;-7;-10;17;-10;1;-12
296;2010-12;-7;-4;-9;-17;9;-12;-2;-12
297;2011-01;-4;4;-9;-12;20;-13;-1;-14
298;2011-02;0;12;-7;-5;28;-12;2;-12
299;2011-03;1;12;-7;-2;26;-12;3;-12
300;2011-04;-2;9;-9;-3;21;-14;3;-16
301;2011-05;-4;3;-9;-7;14;-15;2;-15
302;2011-06;-6;-4;-8;-12;3;-13;2;-13
303;2011-07;-8;-8;-8;-14;-1;-12;2;-13
304;2011-08;-16;-26;-9;-31;-21;-13;-2;-13
305;2011-09;-27;-48;-13;-53;-43;-16;-7;-17
306;2011-10;-34;-61;-16;-66;-57;-18;-12;-18
307;2011-11;-35;-64;-15;-68;-61;-16;-12;-17
308;2011-12;-36;-65;-17;-71;-60;-18;-15;-19
309;2012-01;-37;-66;-18;-73;-59;-17;-16;-19
310;2012-02;-36;-61;-19;-72;-50;-19;-16;-22
311;2012-03;-36;-60;-20;-71;-49;-21;-17;-23
312;2012-04;-32;-51;-19;-67;-36;-21;-14;-22
313;2012-05;-34;-54;-21;-70;-38;-21;-18;-23
314;2012-06;-37;-59;-22;-74;-44;-22;-21;-24
315;2012-07;-33;-50;-21;-67;-32;-22;-17;-25
316;2012-08;-31;-47;-21;-65;-28;-22;-16;-26
317;2012-09;-28;-40;-20;-60;-21;-21;-16;-24
318;2012-10;-29;-39;-23;-59;-18;-22;-17;-29
319;2012-11;-33;-47;-24;-64;-31;-21;-23;-28
320;2012-12;-38;-57;-25;-71;-44;-21;-25;-28
321;2013-01;-37;-58;-23;-73;-43;-20;-23;-26
322;2013-02;-41;-61;-27;-77;-46;-28;-26;-28
323;2013-03;-41;-60;-29;-78;-42;-32;-27;-27
324;2013-04;-37;-53;-26;-75;-30;-31;-23;-24
325;2013-05;-32;-42;-25;-70;-15;-34;-18;-24
326;2013-06;-33;-42;-27;-69;-15;-37;-16;-26
327;2013-07;-35;-46;-27;-71;-22;-37;-17;-27
328;2013-08;-32;-39;-27;-65;-13;-38;-16;-28
329;2013-09;-31;-37;-26;-65;-10;-37;-16;-26
330;2013-10;-26;-29;-23;-60;1;-35;-15;-20
331;2013-11;-16;-11;-20;-44;22;-32;-9;-20
332;2013-12;-11;0;-18;-33;33;-31;-4;-20
333;2014-01;-6;8;-15;-24;40;-27;0;-18
334;2014-02;-2;12;-11;-15;39;-21;3;-15
335;2014-03;1;18;-10;-8;44;-19;6;-16
336;2014-04;4;23;-9;0;46;-19;7;-16
337;2014-05;6;25;-8;6;45;-17;9;-15
338;2014-06;6;25;-7;8;42;-17;9;-14
339;2014-07;5;25;-7;8;41;-16;7;-14
340;2014-08;2;18;-9;8;29;-16;4;-14
341;2014-09;-2;9;-9;1;17;-16;1;-13
342;2014-10;1;13;-8;5;21;-15;1;-10
343;2014-11;-2;7;-8;-2;15;-15;0;-10
344;2014-12;-4;4;-9;-6;15;-17;-1;-8
345;2015-01;-2;6;-8;-8;19;-16;0;-7
346;2015-02;-1;6;-6;-6;18;-15;0;-5
347;2015-03;7;22;-4;9;35;-12;3;-2
348;2015-04;10;30;-4;17;43;-12;3;-2
349;2015-05;11;31;-3;21;42;-11;3;-1
350;2015-06;14;38;-1;29;47;-10;5;1
351;2015-07;13;34;0;27;41;-9;5;2
352;2015-08;13;34;-1;26;41;-10;6;1
353;2015-09;11;28;0;23;33;-10;6;2
354;2015-10;12;28;1;27;28;-9;6;7
355;2015-11;14;31;3;31;31;-7;8;10
356;2015-12;13;27;4;28;27;-8;7;11
357;2016-01;11;23;3;23;22;-9;7;11
358;2016-02;6;16;0;17;15;-10;4;6
359;2016-03;2;5;0;8;3;-7;1;7
360;2016-04;6;12;1;15;9;-6;1;9
361;2016-05;7;15;2;18;12;-5;0;10
362;2016-06;11;23;3;23;23;-3;2;9
363;2016-07;9;20;2;22;18;-3;1;7
364;2016-08;9;20;1;21;19;-5;-1;9
365;2016-09;12;26;3;27;25;-4;1;11
366;2016-10;17;32;7;33;32;-1;5;16
367;2016-11;20;39;8;40;38;1;7;17
368;2016-12;21;39;8;41;38;0;7;18
369;2017-01;21;41;7;43;40;-1;7;15
370;2017-02;22;43;8;46;41;0;8;16
371;2017-03;24;47;8;49;45;-1;9;17
372;2017-04;26;50;10;51;49;0;11;18
373;2017-05;23;45;8;47;43;-1;9;16
374;2017-06;23;44;10;47;40;1;10;18
375;2017-07;25;46;11;50;41;3;11;19
376;2017-08;26;49;11;54;43;4;11;19
377;2017-09;23;44;10;49;38;2;9;18
378;2017-10;23;43;10;47;40;2;10;19
379;2017-11;22;41;10;44;38;1;10;20
380;2017-12;25;45;12;49;40;2;11;22
381;2018-01;24;45;11;48;41;1;10;21
382;2018-02;23;43;10;47;40;0;9;21
383;2018-03;24;44;10;48;41;-1;10;21
384;2018-04;25;47;11;53;41;0;11;22
385;2018-05;23;43;10;51;35;-1;9;21
386;2018-06;23;43;9;52;34;-1;9;20
387;2018-07;23;43;10;53;34;0;9;19
388;2018-08;21;40;9;50;30;0;9;18
389;2018-09;18;34;8;42;26;0;7;17
390;2018-10;15;28;6;37;19;-2;5;15
391;2018-11;13;24;5;32;17;-3;4;15
